Source_Folder,Video_Filename,Gaze_Hit_Rate_Pct,Avg_Centroid_Drift_Pixels,Avg_Latency_Ms
Original,01.avi,62.64,2652.35,400.91
Modified,01_gaussian_blur_medium.avi,63.74,2537.16,391.06
Modified,01_gaussian_blur_mild.avi,60.44,2523.72,394.83
Modified,01_gaussian_blur_severe.avi,67.03,2895.96,400.13
Modified,01_motion_blur_medium.avi,70.33,2715.57,408.01
Modified,01_motion_blur_mild.avi,65.93,2574.29,408.55
Modified,01_motion_blur_severe.avi,68.13,2846.47,414.64
Modified,01_occlusion_dynamic_medium.avi,62.64,2554.18,406.86
Modified,01_occlusion_dynamic_mild.avi,62.64,2559.15,407.22
Modified,01_occlusion_dynamic_severe.avi,63.74,2496.91,408.5
Modified,01_occlusion_static_medium.avi,57.14,2579.08,408.17
Modified,01_occlusion_static_mild.avi,57.14,2519.11,407.57
Modified,01_occlusion_static_severe.avi,60.44,2628.45,409.47
Modified,01_overexposure_medium.avi,62.64,2687.3,408.67
Modified,01_overexposure_mild.avi,62.64,2849.59,409.27
Modified,01_overexposure_severe.avi,57.14,2465.83,410.26
Modified,01_underexposure_medium.avi,8.79,1632.45,408.73
Modified,01_underexposure_mild.avi,53.85,2454.73,409.09
Modified,01_underexposure_severe.avi,8.79,856.92,409.03
Original,11.avi,70.59,3075.4,381.6
Modified,11_gaussian_blur_medium.avi,84.71,2841.83,383.91
Modified,11_gaussian_blur_mild.avi,77.65,3060.82,383.42
Modified,11_gaussian_blur_severe.avi,84.71,2878.6,383.59
Modified,11_motion_blur_medium.avi,77.65,2994.97,382.29
Modified,11_motion_blur_mild.avi,76.47,2982.81,383.4
Modified,11_motion_blur_severe.avi,76.47,2892.93,381.76
Modified,11_occlusion_dynamic_medium.avi,71.76,3031.06,383.57
Modified,11_occlusion_dynamic_mild.avi,72.94,3183.44,384.13
Modified,11_occlusion_dynamic_severe.avi,76.47,3106.65,382.57
Modified,11_occlusion_static_medium.avi,70.59,3094.98,382.37
Modified,11_occlusion_static_mild.avi,70.59,3120.65,377.08
Modified,11_occlusion_static_severe.avi,71.76,3004.41,378.08
Modified,11_overexposure_medium.avi,72.94,3001.93,379.55
Modified,11_overexposure_mild.avi,75.29,3144.56,375.67
Modified,11_overexposure_severe.avi,70.59,2964.83,375.08
Modified,11_underexposure_medium.avi,60.0,2633.3,373.72
Modified,11_underexposure_mild.avi,71.76,3153.81,374.61
Modified,11_underexposure_severe.avi,31.76,2205.28,374.83
Original,29.avi,56.04,2832.19,405.39
Modified,29_gaussian_blur_medium.avi,70.33,3077.91,402.93
Modified,29_gaussian_blur_mild.avi,68.13,2769.59,400.56
Modified,29_gaussian_blur_severe.avi,71.43,3043.15,401.27
Modified,29_motion_blur_medium.avi,64.84,3036.79,399.43
Modified,29_motion_blur_mild.avi,67.03,2712.04,402.55
Modified,29_motion_blur_severe.avi,69.23,3222.82,400.17
Modified,29_occlusion_dynamic_medium.avi,58.24,2885.39,403.41
Modified,29_occlusion_dynamic_mild.avi,58.24,2770.75,406.85
Modified,29_occlusion_dynamic_severe.avi,58.24,2758.42,406.62
Modified,29_occlusion_static_medium.avi,58.24,2777.93,405.75
Modified,29_occlusion_static_mild.avi,59.34,2741.74,404.43
Modified,29_occlusion_static_severe.avi,56.04,2812.41,405.26
Modified,29_overexposure_medium.avi,59.34,2547.98,403.32
Modified,29_overexposure_mild.avi,56.04,2652.1,403.35
Modified,29_overexposure_severe.avi,49.45,2576.46,403.33
Modified,29_underexposure_medium.avi,48.35,2759.97,397.92
Modified,29_underexposure_mild.avi,61.54,2812.15,398.16
Modified,29_underexposure_severe.avi,51.65,2596.09,398.37
Original,36.avi,80.0,2830.31,396.87
Modified,36_gaussian_blur_medium.avi,75.0,2819.08,395.35
Modified,36_gaussian_blur_mild.avi,80.0,2828.08,394.96
Modified,36_gaussian_blur_severe.avi,73.33,3024.32,394.68
Modified,36_motion_blur_medium.avi,85.0,2947.85,394.23
Modified,36_motion_blur_mild.avi,83.33,2888.73,394.08
Modified,36_motion_blur_severe.avi,85.0,2901.35,394.43
Modified,36_occlusion_dynamic_medium.avi,78.33,2923.5,394.82
Modified,36_occlusion_dynamic_mild.avi,80.0,2991.33,393.94
Modified,36_occlusion_dynamic_severe.avi,76.67,2924.83,393.64
Modified,36_occlusion_static_medium.avi,78.33,2925.85,393.56
Modified,36_occlusion_static_mild.avi,80.0,2870.15,393.09
Modified,36_occlusion_static_severe.avi,80.0,2876.18,392.49
Modified,36_overexposure_medium.avi,81.67,2921.39,392.2
Modified,36_overexposure_mild.avi,81.67,2787.57,392.97
Modified,36_overexposure_severe.avi,78.33,2860.36,393.5
Modified,36_underexposure_medium.avi,50.0,2651.22,393.28
Modified,36_underexposure_mild.avi,81.67,2924.4,393.24
Modified,36_underexposure_severe.avi,18.33,2302.24,392.88
