Source_Folder,Video_Filename,Gaze_Hit_Rate_Pct,Avg_Centroid_Drift_Pixels,Track_Loss_Pct,Max_TTR_Ms
Original,01.avi,80.22,77.24,0.88,366.67
Modified,01_gaussian_blur_medium.avi,80.22,93.72,0.88,366.67
Modified,01_gaussian_blur_mild.avi,81.32,87.02,0.88,366.67
Modified,01_gaussian_blur_severe.avi,80.22,97.46,0.88,366.67
Modified,01_motion_blur_medium.avi,76.92,79.87,0.88,366.67
Modified,01_motion_blur_mild.avi,80.22,81.47,0.88,366.67
Modified,01_motion_blur_severe.avi,81.32,88.06,0.88,366.67
Modified,01_occlusion_dynamic_medium.avi,100.0,1.52,0.88,366.67
Modified,01_occlusion_dynamic_mild.avi,100.0,1.51,0.88,366.67
Modified,01_occlusion_dynamic_severe.avi,98.9,11.71,0.88,366.67
Modified,01_occlusion_static_medium.avi,79.12,77.83,0.88,366.67
Modified,01_occlusion_static_mild.avi,80.22,78.86,0.88,366.67
Modified,01_occlusion_static_severe.avi,79.12,87.18,0.88,366.67
Modified,01_overexposure_medium.avi,86.81,78.34,0.88,366.67
Modified,01_overexposure_mild.avi,79.12,76.17,0.88,366.67
Modified,01_overexposure_severe.avi,82.42,76.08,0.88,366.67
Modified,01_underexposure_medium.avi,69.23,50.49,0.88,366.67
Modified,01_underexposure_mild.avi,79.12,77.75,0.88,366.67
Modified,01_underexposure_severe.avi,65.93,55.22,0.88,366.67
Original,11.avi,85.54,59.85,29.02,1400.0
Modified,11_gaussian_blur_medium.avi,89.16,65.41,29.02,1400.0
Modified,11_gaussian_blur_mild.avi,84.34,61.73,29.02,1400.0
Modified,11_gaussian_blur_severe.avi,89.16,71.45,29.02,1400.0
Modified,11_motion_blur_medium.avi,86.75,62.6,29.02,1400.0
Modified,11_motion_blur_mild.avi,87.95,64.38,29.02,1400.0
Modified,11_motion_blur_severe.avi,87.95,70.4,29.02,1400.0
Modified,11_occlusion_dynamic_medium.avi,100.0,6.63,29.02,1400.0
Modified,11_occlusion_dynamic_mild.avi,100.0,3.89,29.02,1400.0
Modified,11_occlusion_dynamic_severe.avi,93.98,12.19,29.02,1400.0
Modified,11_occlusion_static_medium.avi,87.95,52.4,29.02,1400.0
Modified,11_occlusion_static_mild.avi,87.95,55.13,29.02,1400.0
Modified,11_occlusion_static_severe.avi,85.54,56.46,29.02,1400.0
Modified,11_overexposure_medium.avi,86.75,62.97,29.02,1400.0
Modified,11_overexposure_mild.avi,86.75,63.78,29.02,1400.0
Modified,11_overexposure_severe.avi,87.95,62.71,29.02,1400.0
Modified,11_underexposure_medium.avi,80.72,63.15,29.02,1400.0
Modified,11_underexposure_mild.avi,86.75,58.21,29.02,1400.0
Modified,11_underexposure_severe.avi,77.11,55.49,29.02,1400.0
Original,29.avi,83.52,56.54,1.34,266.67
Modified,29_gaussian_blur_medium.avi,79.12,72.51,1.34,266.67
Modified,29_gaussian_blur_mild.avi,87.91,75.6,1.34,266.67
Modified,29_gaussian_blur_severe.avi,86.81,71.37,1.34,266.67
Modified,29_motion_blur_medium.avi,84.62,67.5,1.34,266.67
Modified,29_motion_blur_mild.avi,90.11,63.83,1.34,266.67
Modified,29_motion_blur_severe.avi,80.22,73.38,1.34,266.67
Modified,29_occlusion_dynamic_medium.avi,100.0,1.74,1.34,266.67
Modified,29_occlusion_dynamic_mild.avi,100.0,1.83,1.34,266.67
Modified,29_occlusion_dynamic_severe.avi,100.0,5.22,1.34,266.67
Modified,29_occlusion_static_medium.avi,86.81,50.75,1.34,266.67
Modified,29_occlusion_static_mild.avi,80.22,54.4,1.34,266.67
Modified,29_occlusion_static_severe.avi,92.31,53.85,1.34,266.67
Modified,29_overexposure_medium.avi,79.12,54.44,1.34,266.67
Modified,29_overexposure_mild.avi,82.42,61.88,1.34,266.67
Modified,29_overexposure_severe.avi,78.02,73.27,1.34,266.67
Modified,29_underexposure_medium.avi,80.22,62.73,1.34,266.67
Modified,29_underexposure_mild.avi,80.22,62.2,1.34,266.67
Modified,29_underexposure_severe.avi,83.52,46.98,1.34,266.67
Original,36.avi,91.67,78.51,26.21,533.33
Modified,36_gaussian_blur_medium.avi,91.67,84.67,26.21,533.33
Modified,36_gaussian_blur_mild.avi,93.33,78.01,26.21,533.33
Modified,36_gaussian_blur_severe.avi,95.0,90.87,26.21,533.33
Modified,36_motion_blur_medium.avi,93.33,86.22,26.21,533.33
Modified,36_motion_blur_mild.avi,90.0,80.34,26.21,533.33
Modified,36_motion_blur_severe.avi,88.33,78.95,26.21,533.33
Modified,36_occlusion_dynamic_medium.avi,98.33,2.13,26.21,533.33
Modified,36_occlusion_dynamic_mild.avi,100.0,1.67,26.21,533.33
Modified,36_occlusion_dynamic_severe.avi,85.0,8.83,26.21,533.33
Modified,36_occlusion_static_medium.avi,86.67,77.41,26.21,533.33
Modified,36_occlusion_static_mild.avi,88.33,80.01,26.21,533.33
Modified,36_occlusion_static_severe.avi,86.67,83.64,26.21,533.33
Modified,36_overexposure_medium.avi,91.67,78.64,26.21,533.33
Modified,36_overexposure_mild.avi,95.0,81.85,26.21,533.33
Modified,36_overexposure_severe.avi,95.0,86.33,26.21,533.33
Modified,36_underexposure_medium.avi,88.33,81.21,26.21,533.33
Modified,36_underexposure_mild.avi,93.33,80.53,26.21,533.33
Modified,36_underexposure_severe.avi,91.67,70.71,26.21,533.33
