type,filename,segment_id,hit_rate_perc,avg_drift_pixl,track_loss_perc,max_ttr_ms
Original,01.avi,0,81.65,63.13,2.49,266.67
Original,01.avi,1,81.7,84.81,0.13,66.67
Original,01.avi,2,87.5,84.85,0.76,366.67
Original,01.avi,3,76.99,55.34,0.13,33.33
Modified,01_gaussian_blur_medium.avi,0,84.86,72.16,2.49,266.67
Modified,01_gaussian_blur_medium.avi,1,87.95,88.78,0.13,66.67
Modified,01_gaussian_blur_medium.avi,2,83.04,97.17,0.76,366.67
Modified,01_gaussian_blur_medium.avi,3,80.97,64.38,0.13,33.33
Modified,01_gaussian_blur_mild.avi,0,86.7,73.29,2.49,266.67
Modified,01_gaussian_blur_mild.avi,1,84.82,92.04,0.13,66.67
Modified,01_gaussian_blur_mild.avi,2,89.29,87.68,0.76,366.67
Modified,01_gaussian_blur_mild.avi,3,79.2,56.56,0.13,33.33
Modified,01_gaussian_blur_severe.avi,0,83.03,85.37,2.49,266.67
Modified,01_gaussian_blur_severe.avi,1,86.16,89.56,0.13,66.67
Modified,01_gaussian_blur_severe.avi,2,86.61,101.92,0.76,366.67
Modified,01_gaussian_blur_severe.avi,3,81.42,65.1,0.13,33.33
Modified,01_grain_medium.avi,0,81.65,62.24,2.49,266.67
Modified,01_grain_medium.avi,1,83.48,83.12,0.13,66.67
Modified,01_grain_medium.avi,2,86.61,78.32,0.76,366.67
Modified,01_grain_medium.avi,3,80.53,50.96,0.13,33.33
Modified,01_grain_mild.avi,0,84.4,62.24,2.49,266.67
Modified,01_grain_mild.avi,1,80.8,81.84,0.13,66.67
Modified,01_grain_mild.avi,2,82.14,84.12,0.76,366.67
Modified,01_grain_mild.avi,3,80.53,51.67,0.13,33.33
Modified,01_grain_severe.avi,0,72.48,57.62,2.49,266.67
Modified,01_grain_severe.avi,1,76.79,65.7,0.13,66.67
Modified,01_grain_severe.avi,2,71.43,56.84,0.76,366.67
Modified,01_grain_severe.avi,3,70.8,38.38,0.13,33.33
Modified,01_motion_blur_medium.avi,0,84.86,70.63,2.49,266.67
Modified,01_motion_blur_medium.avi,1,83.48,84.41,0.13,66.67
Modified,01_motion_blur_medium.avi,2,90.18,87.02,0.76,366.67
Modified,01_motion_blur_medium.avi,3,82.74,58.27,0.13,33.33
Modified,01_motion_blur_mild.avi,0,83.49,70.01,2.49,266.67
Modified,01_motion_blur_mild.avi,1,80.36,88.07,0.13,66.67
Modified,01_motion_blur_mild.avi,2,89.29,88.85,0.76,366.67
Modified,01_motion_blur_mild.avi,3,84.51,55.61,0.13,33.33
Modified,01_motion_blur_severe.avi,0,81.65,76.75,2.49,266.67
Modified,01_motion_blur_severe.avi,1,84.82,89.63,0.13,66.67
Modified,01_motion_blur_severe.avi,2,87.5,86.4,0.76,366.67
Modified,01_motion_blur_severe.avi,3,83.63,56.54,0.13,33.33
Modified,01_occlusion_medium.avi,0,86.24,65.63,2.49,266.67
Modified,01_occlusion_medium.avi,1,83.04,84.67,0.13,66.67
Modified,01_occlusion_medium.avi,2,84.38,88.87,0.76,366.67
Modified,01_occlusion_medium.avi,3,79.2,57.65,0.13,33.33
Modified,01_occlusion_mild.avi,0,85.78,64.89,2.49,266.67
Modified,01_occlusion_mild.avi,1,80.8,86.43,0.13,66.67
Modified,01_occlusion_mild.avi,2,86.16,85.08,0.76,366.67
Modified,01_occlusion_mild.avi,3,81.42,55.35,0.13,33.33
Modified,01_occlusion_severe.avi,0,83.94,63.12,2.49,266.67
Modified,01_occlusion_severe.avi,1,83.04,82.18,0.13,66.67
Modified,01_occlusion_severe.avi,2,83.93,89.54,0.76,366.67
Modified,01_occlusion_severe.avi,3,80.97,57.71,0.13,33.33
Modified,01_overexposure_medium.avi,0,86.24,68.27,2.49,266.67
Modified,01_overexposure_medium.avi,1,83.48,84.8,0.13,66.67
Modified,01_overexposure_medium.avi,2,82.14,81.81,0.76,366.67
Modified,01_overexposure_medium.avi,3,77.43,53.9,0.13,33.33
Modified,01_overexposure_mild.avi,0,84.86,65.83,2.49,266.67
Modified,01_overexposure_mild.avi,1,83.04,90.25,0.13,66.67
Modified,01_overexposure_mild.avi,2,86.61,83.91,0.76,366.67
Modified,01_overexposure_mild.avi,3,81.42,55.28,0.13,33.33
Modified,01_overexposure_severe.avi,0,84.4,65.46,2.49,266.67
Modified,01_overexposure_severe.avi,1,82.14,85.43,0.13,66.67
Modified,01_overexposure_severe.avi,2,81.25,82.42,0.76,366.67
Modified,01_overexposure_severe.avi,3,78.32,61.11,0.13,33.33
Modified,01_underexposure_medium.avi,0,74.77,53.36,2.49,266.67
Modified,01_underexposure_medium.avi,1,55.36,55.94,0.13,66.67
Modified,01_underexposure_medium.avi,2,62.5,48.26,0.76,366.67
Modified,01_underexposure_medium.avi,3,70.35,27.01,0.13,33.33
Modified,01_underexposure_mild.avi,0,86.7,65.82,2.49,266.67
Modified,01_underexposure_mild.avi,1,82.14,92.76,0.13,66.67
Modified,01_underexposure_mild.avi,2,89.29,84.53,0.76,366.67
Modified,01_underexposure_mild.avi,3,78.76,56.19,0.13,33.33
Modified,01_underexposure_severe.avi,0,66.06,55.81,2.49,266.67
Modified,01_underexposure_severe.avi,1,58.48,55.15,0.13,66.67
Modified,01_underexposure_severe.avi,2,54.46,69.23,0.76,366.67
Modified,01_underexposure_severe.avi,3,66.37,36.69,0.13,33.33
Original,11.avi,0,82.63,34.08,28.0,466.67
Original,11.avi,1,88.94,64.83,30.67,1133.33
Original,11.avi,2,83.65,57.21,28.84,1400.0
Original,11.avi,3,90.2,73.37,28.57,1133.33
Modified,11_gaussian_blur_medium.avi,0,88.26,47.31,28.0,466.67
Modified,11_gaussian_blur_medium.avi,1,89.9,65.92,30.67,1133.33
Modified,11_gaussian_blur_medium.avi,2,86.54,64.57,28.84,1400.0
Modified,11_gaussian_blur_medium.avi,3,92.65,80.01,28.57,1133.33
Modified,11_gaussian_blur_mild.avi,0,85.92,35.09,28.0,466.67
Modified,11_gaussian_blur_mild.avi,1,88.94,64.64,30.67,1133.33
Modified,11_gaussian_blur_mild.avi,2,84.62,56.44,28.84,1400.0
Modified,11_gaussian_blur_mild.avi,3,89.71,72.91,28.57,1133.33
Modified,11_gaussian_blur_severe.avi,0,88.73,51.22,28.0,466.67
Modified,11_gaussian_blur_severe.avi,1,92.79,69.11,30.67,1133.33
Modified,11_gaussian_blur_severe.avi,2,91.35,67.29,28.84,1400.0
Modified,11_gaussian_blur_severe.avi,3,88.73,88.84,28.57,1133.33
Modified,11_grain_medium.avi,0,82.16,33.05,28.0,466.67
Modified,11_grain_medium.avi,1,88.94,62.66,30.67,1133.33
Modified,11_grain_medium.avi,2,84.62,54.03,28.84,1400.0
Modified,11_grain_medium.avi,3,90.69,68.26,28.57,1133.33
Modified,11_grain_mild.avi,0,82.16,33.47,28.0,466.67
Modified,11_grain_mild.avi,1,88.94,60.49,30.67,1133.33
Modified,11_grain_mild.avi,2,84.62,51.62,28.84,1400.0
Modified,11_grain_mild.avi,3,87.75,70.78,28.57,1133.33
Modified,11_grain_severe.avi,0,84.51,34.33,28.0,466.67
Modified,11_grain_severe.avi,1,89.42,60.55,30.67,1133.33
Modified,11_grain_severe.avi,2,85.1,52.95,28.84,1400.0
Modified,11_grain_severe.avi,3,82.84,71.18,28.57,1133.33
Modified,11_motion_blur_medium.avi,0,83.1,44.32,28.0,466.67
Modified,11_motion_blur_medium.avi,1,90.38,67.59,30.67,1133.33
