type,filename,hit_rate_perc,avg_drift_pixl,track_loss_perc,max_ttr_ms
Original,01.avi,80.49,72.77,0.89,366.67
Modified,01_gaussian_blur_medium.avi,84.3,81.52,0.89,366.67
Modified,01_gaussian_blur_mild.avi,82.96,76.32,0.89,366.67
Modified,01_gaussian_blur_severe.avi,82.51,84.49,0.89,366.67
Modified,01_grain_medium.avi,80.94,72.74,0.89,366.67
Modified,01_grain_mild.avi,79.6,74.0,0.89,366.67
Modified,01_grain_severe.avi,78.48,71.67,0.89,366.67
Modified,01_motion_blur_medium.avi,82.06,74.28,0.89,366.67
Modified,01_motion_blur_mild.avi,81.39,75.5,0.89,366.67
Modified,01_motion_blur_severe.avi,82.29,76.83,0.89,366.67
Modified,01_occlusion_static_medium.avi,80.72,69.53,0.89,366.67
Modified,01_occlusion_static_mild.avi,81.17,72.02,0.89,366.67
Modified,01_occlusion_static_severe.avi,81.39,69.95,0.89,366.67
Modified,01_overexposure_medium.avi,80.72,73.67,0.89,366.67
Modified,01_overexposure_mild.avi,80.49,72.52,0.89,366.67
Modified,01_overexposure_severe.avi,79.82,74.3,0.89,366.67
Modified,01_underexposure_medium.avi,67.94,45.06,0.89,366.67
Modified,01_underexposure_mild.avi,82.51,75.1,0.89,366.67
Modified,01_underexposure_severe.avi,62.78,53.49,0.89,366.67
Original,11.avi,86.16,55.86,29.03,1400.0
Modified,11_gaussian_blur_medium.avi,89.74,63.66,29.03,1400.0
Modified,11_gaussian_blur_mild.avi,87.35,56.0,29.03,1400.0
Modified,11_gaussian_blur_severe.avi,89.74,68.3,29.03,1400.0
Modified,11_grain_medium.avi,86.63,51.32,29.03,1400.0
Modified,11_grain_mild.avi,85.92,57.5,29.03,1400.0
Modified,11_grain_severe.avi,84.25,54.98,29.03,1400.0
Modified,11_motion_blur_medium.avi,85.92,64.22,29.03,1400.0
Modified,11_motion_blur_mild.avi,88.31,57.5,29.03,1400.0
Modified,11_motion_blur_severe.avi,88.07,64.36,29.03,1400.0
Modified,11_occlusion_static_medium.avi,88.31,53.73,29.03,1400.0
Modified,11_occlusion_static_mild.avi,85.92,55.01,29.03,1400.0
Modified,11_occlusion_static_severe.avi,89.26,55.69,29.03,1400.0
Modified,11_overexposure_medium.avi,88.31,58.09,29.03,1400.0
Modified,11_overexposure_mild.avi,88.31,55.77,29.03,1400.0
Modified,11_overexposure_severe.avi,86.4,56.86,29.03,1400.0
Modified,11_underexposure_medium.avi,81.62,52.54,29.03,1400.0
Modified,11_underexposure_mild.avi,86.63,55.43,29.03,1400.0
Modified,11_underexposure_severe.avi,79.47,48.17,29.03,1400.0
Original,29.avi,79.46,60.01,1.36,266.67
Modified,29_gaussian_blur_medium.avi,77.43,74.04,1.36,266.67
Modified,29_gaussian_blur_mild.avi,79.91,73.38,1.36,266.67
Modified,29_gaussian_blur_severe.avi,86.46,71.78,1.36,266.67
Modified,29_grain_medium.avi,80.36,61.01,1.36,266.67
Modified,29_grain_mild.avi,81.26,61.88,1.36,266.67
Modified,29_grain_severe.avi,80.36,62.13,1.36,266.67
Modified,29_motion_blur_medium.avi,81.94,64.06,1.36,266.67
Modified,29_motion_blur_mild.avi,83.97,64.35,1.36,266.67
Modified,29_motion_blur_severe.avi,79.01,64.49,1.36,266.67
Modified,29_occlusion_static_medium.avi,82.62,50.22,1.36,266.67
Modified,29_occlusion_static_mild.avi,79.91,55.45,1.36,266.67
Modified,29_occlusion_static_severe.avi,91.42,52.92,1.36,266.67
Modified,29_overexposure_medium.avi,79.91,53.68,1.36,266.67
Modified,29_overexposure_mild.avi,80.59,59.09,1.36,266.67
Modified,29_overexposure_severe.avi,80.81,62.99,1.36,266.67
Modified,29_underexposure_medium.avi,76.75,58.04,1.36,266.67
Modified,29_underexposure_mild.avi,78.1,61.79,1.36,266.67
Modified,29_underexposure_severe.avi,80.14,49.89,1.36,266.67
Original,36.avi,87.11,84.62,26.22,533.33
Modified,36_gaussian_blur_medium.avi,90.24,85.79,26.22,533.33
Modified,36_gaussian_blur_mild.avi,87.46,83.21,26.22,533.33
Modified,36_gaussian_blur_severe.avi,88.85,93.36,26.22,533.33
Modified,36_grain_medium.avi,85.71,83.0,26.22,533.33
Modified,36_grain_mild.avi,87.11,84.33,26.22,533.33
Modified,36_grain_severe.avi,84.32,82.73,26.22,533.33
Modified,36_motion_blur_medium.avi,88.5,84.77,26.22,533.33
Modified,36_motion_blur_mild.avi,88.15,85.06,26.22,533.33
Modified,36_motion_blur_severe.avi,90.59,88.09,26.22,533.33
Modified,36_occlusion_static_medium.avi,84.32,83.83,26.22,533.33
Modified,36_occlusion_static_mild.avi,85.71,84.82,26.22,533.33
Modified,36_occlusion_static_severe.avi,86.06,80.81,26.22,533.33
Modified,36_overexposure_medium.avi,84.32,82.84,26.22,533.33
Modified,36_overexposure_mild.avi,86.76,85.17,26.22,533.33
Modified,36_overexposure_severe.avi,86.06,84.21,26.22,533.33
Modified,36_underexposure_medium.avi,86.76,83.85,26.22,533.33
Modified,36_underexposure_mild.avi,86.76,83.78,26.22,533.33
Modified,36_underexposure_severe.avi,84.67,76.64,26.22,533.33
